є “–јЌ—ј ÷≤ѓ;ƒј“ј; ќƒ ѕЋј“Ќ» ;Ќј«¬ј ѕЋј“Ќ» ј;ћ‘ќ ѕЋј“Ќ» ј;ЅјЌ  ѕЋј“Ќ» ј; ќƒ ќƒ≈–∆”¬ј„;Ќј«¬ј ќƒ≈–∆”¬ј„;ћ‘ќ ќƒ≈–∆”¬ј„;ЅјЌ  ќƒ≈–∆”¬ј„;—”ћј;ѕ–»«Ќј„≈ЌЌя ѕЋј“≈∆”
944491;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;2268;#2201510#,#2240-2268.00#,#ѕослуги доступу до iнтернету зг.дог.ј-159“-3 вiд 30.01.2015, акту є ј-159“-3/09-2015 вiд 18.09.2015.#,#в т.ч.ѕƒ¬-378,00#
2103818;30.09.2015;37485511;”ѕ—«Ќ —олом'€нськоњ –ƒј;820019;√”ƒ —” у м. иЇв≥;2070921;Ќац.техн.унiвер. ѕI;820019;√”ƒ —” у м. иЇв≥;1980,97;#090201#,#2730-1980,97#,#погаш.кр.заб.по пiльг.¬¬¬кварт.пл.пот.р.–.151вiд28.09.15зг.акту зв.310в вiд30.09.15ст.102Ѕ #,#—убв.з ƒЅ#,#в т.ч.ѕƒ¬-330,16#
479130;15.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;1387,56; ѕ ¬ 2201160  ≈ ¬ 2282(2240) вiдшкодуванн€ за послуги зв'€зку рах.є1695 вiд 07.09.15р.,бнє 510, дог.є348-а/15 ѕƒ¬-231,26
480672;15.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;949,74; ѕ ¬ 6541030,  ≈¬  2281(2240) вiдшкодуванн€ за послуги зв'€зку, рах.є1695 вiд 07.09.15р.,бнє 510, lдог.є348-а/15, ѕƒ¬-158,29
1044108;23.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;948; ѕ ¬  6541030,  ≈ ¬2281(2271, 2272, 2273)  вiдшкодуванн€ за комунальнi послуги 09.2015, актє7 вiд 21.09.15р.,бнє 501, дог.є33 вiд 10.03.2015р.
944066;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;880;#2201510#,#2272-880,00#,#ѕослуги водопостачанн€ зг.дог. є22-06/15 вiд 22.06.2015 акту є 5 вiд 17.09.2015#,#в т.ч.ѕƒ¬-146,66#
1043554;23.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;810; ѕ ¬  2201040,  ≈ ¬ 2281(2271, 2272, 2273)  вiдшкодуванн€ за комунальнi послуги 09.2015, актє6 вiд 21.09.15р.,бнє 501, дог.є38 вiд 01.04.2015р.
853285;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;576; ѕ ¬  2201160,  ≈ ¬ 2282(2240) ¬iдшкодуванн€ послуги при форм. звiтностi , акт.єб/н вiд 16.09.15р., дог.є 12/14 вiд 02.02.15р. ЅЌ 500, ѕƒ¬-96,00
1042934;23.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;502,49; ѕ ¬  2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ за послуги зв'€зку, рах.є08-634 вiд 21.09.15р.,бнє 510, дог.є348-а/15, ѕƒ¬-83,75
568130;16.09.2015;22876603;"ѕЋ Ќ“””"" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;487,8;"#070201/2#,#2240-487,80#,# за посл.зв€зку#,# за 08.15р.,зг.рах.-акту є1689 вiд 04.09.15,зг.дог.є160а вiд 12.01.09р.,ƒ/у є1 вiд 26.01.15р.#,#ѕƒ¬-81,30#"""
943788;22.09.2015;2125800; ињвська м≥ська студ.пол≥кл≥н≥ка;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”"" ѕI""Ќ“ќ"" ѕI-“елеком""";820019;√”ƒ —” у м. иЇв≥;446,74;#080300#,#2240-446,74#,#ƒог.є209 вiд 01.10.2003р.ќпл.за послуги зв€зку зг.рах.-ак.є1693вiд 22.09.15р. за 08.2015р.#,#ѕƒ¬-74,46грн.#
565384;16.09.2015;22876603;"ѕЋ Ќ“””"" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;436,8;#070201/2#,#2240-436,80#,#за послуги корист.iнтерн.#,# за 09.15р.,зг.рах.-акту є ј-309“/09-2015 вiд 15.09.15р.по дог.єј-309“-3 вiд 26.01.15р.#,#ѕƒ¬-72,80#.
853046;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;432; ѕ ¬  2201160,  ≈ ¬ 2282(2240) ¬iдшкодуванн€ послуги при форм. звiтностi , акт.єб/н вiд 17.09.15р.,дог.є 12/14 вiд 02.02.15р. ЅЌ 500, ѕƒ¬-72,00
854974;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;413,76; ѕ ¬  2201160,  ≈ ¬ 2282(2240) за послуги з виготовленн€ бланочноњ продукцiњ, акт є77 вiд 17.09.15р., дог.є 58 вiд 02.06.2015р., ѕƒ¬-68,96
479154;15.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;327,77; ѕ ¬ 2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ за послуги охорон.сигналiзацiњ, рах.є1696 вiд 07.09.15р.Ѕ є 510, дог.є 348/15 вiд 27.01.2015р., ѕƒ¬-54,63
854985;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;288; ѕ ¬  2201160,  ≈ ¬ 2282(2240) ¬iдшкодуванн€ послуги при форм. звiтностi , акт.єб/н вiд 16.09.15р., дог.є 12/14 вiд 02.02.15р. ЅЌ 500, ѕƒ¬-48,00
852479;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;264,52; ѕ ¬  2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ послуг з вивозу смiтт€, акт.є8/1 вiд 17.09.15р., дог.є 8-“ѕ¬ вiд 05.02.2015р., ѕƒ¬-44,09
853900;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;264,52; ѕ ¬  2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ послуг з вивозу смiтт€, акт.є7 вiд 16.09.15р., дог.є 8-“ѕ¬ вiд 05.02.2015р., ѕƒ¬-44,09
852902;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;264,52; ѕ ¬  2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ послуг з вивозу смiтт€, акт.є8 вiд 17.09.15р., дог.є 8-“ѕ¬ вiд 05.02.2015р., ѕƒ¬-44,09
854658;21.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;264,52; ѕ ¬  2201160,  ≈ ¬ 2282(2240) вiдшкодуванн€ послуг з вивозу смiтт€, акт.є7/1 вiд 16.09.15р., дог.є 8-“ѕ¬ вiд 05.02.2015р., ѕƒ¬-44,09
941646;22.09.2015;2125800; ињвська м≥ська студ.пол≥кл≥н≥ка;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“””"" ѕI""";820019;√”ƒ —” у м. иЇв≥;198;#080300#,#2240-198,00#,#ƒог.єј-329“-2/02-15 вiд 28.01.2015р.ќпл.за телекомунiкацiйнi послуги зг.ак.єј329“/09-2015 вiд 22.09.15р.за 09.2015р.#,#ѕƒ¬-33,00грн.#
940499;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“ќ"" ѕI-“елеком""Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;180;#2201510#,#2240-180,00#,#ѕослуги полiграфiчнi зг.дог.є9 вiд 03.08.2015, акту є128 вiд 03.08.2015.#,#в т.ч.ѕƒ¬-30.00#
1345850;25.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“ќ"" ѕI-“елеком""Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;179,76;#2201510#,#2240-179,76#,#ѕослуги  зв'€зку зг.дог.є602/15 вiд 16.03.2015, актiв є1691,1503 вiд 07.09.2015.#,#в т.ч.ѕƒ¬-29,96#
478980;15.09.2015;25408067;"ЌЌ  ""≤ѕ—ј"" Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;79,74; ѕ¬  6541030,  ≈ ¬2281(2240) вiдшкодуванн€ за послуги охорон.сигналiзацiњ, рах.є1696 вiд 07.09.15р.Ѕ є 510, дог.є 348/15 вiд 27.01.2015р., ѕƒ¬-13,29
